ID,smiles
ske_MYX_AB_69,Nc1nnc(-c2nc([N+](=O)[O-])n(N)n2)n1N
ske_MYX_AB_70,Nc1nc(-c2nnc([N+](=O)[O-])n2[N+](=O)[O-])nn1N
ske_MYX_AB_71,Nc1nc(-c2nnc(N)n2[N+](=O)[O-])nn1[N+](=O)[O-]
ske_MYX_AB_72,Nc1nc(-c2nnc([N+](=O)[O-])n2N)nn1[N+](=O)[O-]
ske_MYX_AB_73,Nc1nnc(-c2nc([N+](=O)[O-])n(N)n2)n1[N+](=O)[O-]
ske_MYX_AB_74,Nn1nc(-c2nnc([N+](=O)[O-])n2N)nc1[N+](=O)[O-]
ske_MYX_AB_75,Nc1nnc(-c2nc([N+](=O)[O-])n([N+](=O)[O-])n2)n1N
ske_MYX_AB_76,Nc1nc(-c2nnc([N+](=O)[O-])n2[N+](=O)[O-])nn1[N+](=O)[O-]
ske_MYX_AB_77,Nn1nc(-c2nnc([N+](=O)[O-])n2[N+](=O)[O-])nc1[N+](=O)[O-]
ske_MYX_AB_78,Nc1nnc(-c2nc([N+](=O)[O-])n([N+](=O)[O-])n2)n1[N+](=O)[O-]
ske_MYX_AB_79,Nn1c(-c2nc([N+](=O)[O-])n([N+](=O)[O-])n2)nnc1[N+](=O)[O-]
ske_MYX_AB_80,O=[N+]([O-])c1nc(-c2nnc([N+](=O)[O-])n2[N+](=O)[O-])nn1[N+](=O)[O-]
